---Models in module 'general'---
new model base.automation.link.test [module test_base_automation]
new model base.automation.linked.test [module test_base_automation]
new model calendar.recurrence [module calendar]
new model chat.room [module website_jitsi]
new model chat.room.mixin [module website_jitsi]
new model coupon.coupon [module coupon]
new model coupon.generate.wizard [module coupon]
new model coupon.program [module coupon]
new model coupon.reward [module coupon]
new model coupon.rule [module coupon]
new model crm.recurring.plan [module crm]
new model crm.tag [module sales_team]
new model event.lead.rule [module event_crm]
new model event.meeting.room [module website_event_meet]
new model event.question.answer [module website_event_questions]
new model event.quiz [module website_event_track_quiz]
new model event.quiz.answer [module website_event_track_quiz]
new model event.quiz.question [module website_event_track_quiz]
new model event.stage [module event]
new model event.tag [module event]
new model event.tag.category [module event]
new model event.track.tag.category [module website_event_track]
new model event.track.visitor [module website_event_track]
new model event.type.ticket [module event]
new model expiry.picking.confirmation [module product_expiry]
new model fleet.vehicle.cost.report [module fleet]
new model gamification.karma.tracking [module gamification]
new model google.calendar.account.reset [module google_calendar]
new model google.calendar.sync [module google_calendar]
new model hr.applicant.refuse.reason [module hr_recruitment]
new model hr.payroll.structure.type [module hr_contract]
new model ir.qweb.field.image_url [module base]
new model mail.blacklist.remove [module mail]
new model mail.performance.thread [module test_mail]
new model mail.performance.tracking [module test_mail]
new model mail.render.mixin [module mail]
new model mail.template.preview [module mail]
new model mail.test.container [module test_mail]
new model mail.test.ticket [module test_mail]
new model mail.test.track.compute [module test_mail]
new model mailing.performance [module test_mass_mailing]
new model mailing.performance.blacklist [module test_mass_mailing]
new model mailing.test.blacklist [module test_mass_mailing]
new model mailing.test.optout [module test_mass_mailing]
new model mailing.test.simple [module test_mass_mailing]
new model mailing.test.utm [module test_mass_mailing]
new model microsoft.calendar.account.reset [module microsoft_calendar]
new model microsoft.calendar.sync [module microsoft_calendar]
new model microsoft.service [module microsoft_account]
new model mrp.consumption.warning [module mrp]
new model mrp.consumption.warning.line [module mrp]
new model mrp.immediate.production [module mrp]
new model mrp.immediate.production.line [module mrp]
new model mrp.production.backorder [module mrp]
new model mrp.production.backorder.line [module mrp]
new model phone.blacklist.remove [module phone_validation]
new model product.ribbon [module website_sale]
new model project.delete.wizard [module project]
new model project.task.create.sale.order [module sale_timesheet]
new model project.task.create.timesheet [module hr_timesheet]
new model project.task.recurrence [module project]
new model project.task.type.delete.wizard [module project]
new model report.account.report_invoice [module account]
new model report.coupon.report_coupon [module coupon]
new model report.stock.report_product_product_replenishment [module stock]
new model report.stock.report_product_template_replenishment [module stock]
new model res.users.apikeys [module base]
new model res.users.apikeys.description [module base]
new model res.users.apikeys.show [module base]
new model res.users.identitycheck [module base]
new model sale.order.cancel [module sale]
new model sequence.mixin [module account]
new model slide.slide.resource [module website_slides]
new model snailmail.confirm [module snailmail]
new model snailmail.confirm.invoice [module snailmail_account]
new model stock.backorder.confirmation.line [module stock]
new model stock.immediate.transfer.line [module stock]
new model stock.orderpoint.snooze [module stock]
new model stock.valuation.layer.revaluation [module stock_account]
new model survey.question.answer [module survey]
new model survey.user_input.line [module survey]
new model vendor.delay.report [module purchase_stock]
new model website.cover_properties.mixin [module website]
new model website.robots [module website]
new model website.sale.extra.field [module website_sale]
new model website.snippet.filter [module website]
---Fields in module 'general'---
# 8994 fields matched,
# Direct match: 8831
# Found in other module: 163
# Found with different type: 0
# In obsolete models: 306
# New columns: 1930
# Not matched: 635
---XML records in module 'general'---
ERROR: module not in list of installed modules:
---Models in module 'account_analytic_default'---
model account.analytic.default (moved to account)
---Fields in module 'account_analytic_default'---
account_analytic_default / account.analytic.default / __last_update (datetime)      : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / account_id (many2one)         : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / analytic_id (many2one)        : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / analytic_tag_ids (many2many)  : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / company_id (many2one)         : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / date_start (date)             : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / date_stop (date)              : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / display_name (char)           : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / partner_id (many2one)         : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / product_id (many2one)         : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / sequence (integer)            : module is now 'account' ('account_analytic_default')
account_analytic_default / account.analytic.default / user_id (many2one)            : module is now 'account' ('account_analytic_default')
---XML records in module 'account_analytic_default'---
DEL ir.actions.act_window: account_analytic_default.action_analytic_default_list [renamed to account module]
DEL ir.actions.act_window: account_analytic_default.action_product_default_list
DEL ir.actions.act_window: account_analytic_default.analytic_rule_action_user [renamed to account module]
DEL ir.model.access: account_analytic_default.access_account_analytic_default [renamed to account module]
DEL ir.model.access: account_analytic_default.access_account_analytic_default_analytic [renamed to account module]
DEL ir.model.access: account_analytic_default.access_account_analytic_default_invoice [renamed to account module]
DEL ir.rule: account_analytic_default.analytic_default_comp_rule [renamed to account module] (noupdate)
DEL ir.ui.menu: account_analytic_default.menu_analytic_default_list [renamed to account module]
DEL ir.ui.view: account_analytic_default.view_account_analytic_default_form
DEL ir.ui.view: account_analytic_default.view_account_analytic_default_form_search
DEL ir.ui.view: account_analytic_default.view_account_analytic_default_kanban
DEL ir.ui.view: account_analytic_default.view_account_analytic_default_tree
ERROR: module not in list of installed modules:
---Models in module 'account_bank_statement_import'---
obsolete model account.bank.statement.import [transient]
obsolete model account.bank.statement.import.journal.creation [transient]
---Fields in module 'account_bank_statement_import'---
account_bank_statement_import / account.bank.statement.line / unique_import_id (char)       : DEL
---XML records in module 'account_bank_statement_import'---
DEL ir.actions.act_window: account_bank_statement_import.action_account_bank_statement_import
DEL ir.actions.act_window: account_bank_statement_import.install_more_import_formats_action
DEL ir.ui.view: account_bank_statement_import.account_bank_statement_import_journal_creation_view
DEL ir.ui.view: account_bank_statement_import.account_bank_statement_import_view
DEL ir.ui.view: account_bank_statement_import.assets_backend
DEL ir.ui.view: account_bank_statement_import.journal_dashboard_view_inherit
ERROR: module not in list of installed modules:
---Models in module 'account_facturx'---
---Fields in module 'account_facturx'---
---XML records in module 'account_facturx'---
DEL ir.ui.view: account_facturx.account_invoice_facturx_export
DEL ir.ui.view: account_facturx.account_invoice_line_facturx_export
DEL ir.ui.view: account_facturx.account_invoice_partner_facturx_export
ERROR: module not in list of installed modules:
---Models in module 'base_gengo'---
obsolete model base.gengo.translations [transient]
---Fields in module 'base_gengo'---
base_gengo   / ir.translation           / gengo_comment (text)          : DEL
base_gengo   / ir.translation           / gengo_translation (selection) : DEL selection_keys: ['machine', 'pro', 'standard', 'ultra']
base_gengo   / ir.translation           / order_id (char)               : DEL
base_gengo   / res.company              / gengo_auto_approve (boolean)  : DEL
base_gengo   / res.company              / gengo_comment (text)          : DEL
base_gengo   / res.company              / gengo_private_key (char)      : DEL
base_gengo   / res.company              / gengo_public_key (text)       : DEL
base_gengo   / res.company              / gengo_sandbox (boolean)       : DEL
---XML records in module 'base_gengo'---
DEL ir.actions.act_window: base_gengo.action_wizard_base_gengo_translations
DEL ir.cron: base_gengo.gengo_sync_receive_request_scheduler (noupdate)
DEL ir.cron: base_gengo.gengo_sync_send_request_scheduler (noupdate)
DEL ir.ui.menu: base_gengo.menu_action_wizard_base_gengo_translations
DEL ir.ui.view: base_gengo.base_gengo_translation_wizard_from
DEL ir.ui.view: base_gengo.res_config_settings_view_form
DEL ir.ui.view: base_gengo.view_ir_translation_inherit_base_gengo_form
DEL ir.ui.view: base_gengo.view_translation_search
ERROR: module not in list of installed modules:
---Models in module 'hr_expense_check'---
---Fields in module 'hr_expense_check'---
---XML records in module 'hr_expense_check'---
DEL ir.ui.view: hr_expense_check.hr_expense_register_payment_view_form_check_inherit
ERROR: module not in list of installed modules:
---Models in module 'hr_holidays_calendar'---
model hr.leave.report.calendar (moved to hr_holidays) [sql_view]
---Fields in module 'hr_holidays_calendar'---
---XML records in module 'hr_holidays_calendar'---
DEL ir.actions.act_window: hr_holidays.action_hr_holidays_dashboard
DEL ir.model.access: hr_holidays_calendar.access_hr_leave_report_calendar [renamed to hr_holidays module]
DEL ir.rule: hr_holidays_calendar.hr_leave_report_calendar_rule_multi_company [renamed to hr_holidays module]
DEL ir.ui.view: hr_holidays_calendar.hr_leave_report_calendar_view
DEL ir.ui.view: hr_holidays_calendar.hr_leave_report_calendar_view_form
ERROR: module not in list of installed modules:
---Models in module 'im_support'---
---Fields in module 'im_support'---
---XML records in module 'im_support'---
DEL ir.ui.view: im_support.assets_backend
DEL ir.ui.view: im_support.qunit_mobile_suite
DEL ir.ui.view: im_support.qunit_suite
DEL ir.ui.view: im_support.support_qunit_suite
ERROR: module not in list of installed modules:
---Models in module 'pos_cash_rounding'---
---Fields in module 'pos_cash_rounding'---
pos_cash_rounding / account.cash.rounding    / loss_account_id (many2one)    : module is now 'account' ('pos_cash_rounding')
pos_cash_rounding / account.cash.rounding    / loss_account_id (many2one)    : not stored anymore
pos_cash_rounding / pos.config               / cash_rounding (boolean)       : module is now 'point_of_sale' ('pos_cash_rounding')
pos_cash_rounding / pos.config               / only_round_cash_method (boolean): module is now 'point_of_sale' ('pos_cash_rounding')
pos_cash_rounding / pos.config               / rounding_method (many2one)    : module is now 'point_of_sale' ('pos_cash_rounding')
---XML records in module 'pos_cash_rounding'---
DEL ir.model.access: pos_cash_rounding.access_account_cash_rounding
DEL ir.ui.view: pos_cash_rounding.assets
DEL ir.ui.view: pos_cash_rounding.pos_config_view_form_inherit_cash_rounding
DEL ir.ui.view: pos_cash_rounding.pos_order_view_form_inherit_cash_rounding
DEL ir.ui.view: pos_cash_rounding.pos_rounding_form_view_inherited
DEL ir.ui.view: pos_cash_rounding.res_config_view_form_inherit_pos_cash_rounding
ERROR: module not in list of installed modules:
---Models in module 'pos_kitchen_printer'---
---Fields in module 'pos_kitchen_printer'---
pos_kitchen_printer / pos.order                / multiprint_resume (char)      : module is now 'pos_restaurant' ('pos_kitchen_printer')
pos_kitchen_printer / pos.order.line           / mp_dirty (boolean)            : module is now 'pos_restaurant' ('pos_kitchen_printer')
---XML records in module 'pos_kitchen_printer'---
ERROR: module not in list of installed modules:
---Models in module 'pos_reprint'---
---Fields in module 'pos_reprint'---
---XML records in module 'pos_reprint'---
DEL ir.ui.view: pos_reprint.assets
DEL ir.ui.view: pos_reprint.pos_config_view_form_inherit_pos_reprint
ERROR: module not in list of installed modules:
---Models in module 'test_main_flows'---
---Fields in module 'test_main_flows'---
---XML records in module 'test_main_flows'---
DEL ir.ui.view: test_main_flows.assets_tests
ERROR: module not in list of installed modules:
---Models in module 'test_website_slides_full'---
---Fields in module 'test_website_slides_full'---
---XML records in module 'test_website_slides_full'---
DEL ir.ui.view: test_website_slides_full.assets_tests
ERROR: module not in list of installed modules:
---Models in module 'theme_bootswatch'---
---Fields in module 'theme_bootswatch'---
---XML records in module 'theme_bootswatch'---
DEL theme.ir.ui.view: theme_bootswatch._assets_frontend_helpers
DEL theme.ir.ui.view: theme_bootswatch.theme_cerulean
DEL theme.ir.ui.view: theme_bootswatch.theme_cerulean_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_cosmo
DEL theme.ir.ui.view: theme_bootswatch.theme_cosmo_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_customize
DEL theme.ir.ui.view: theme_bootswatch.theme_cyborg
DEL theme.ir.ui.view: theme_bootswatch.theme_cyborg_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_flatly
DEL theme.ir.ui.view: theme_bootswatch.theme_flatly_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_journal
DEL theme.ir.ui.view: theme_bootswatch.theme_journal_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_simplex
DEL theme.ir.ui.view: theme_bootswatch.theme_simplex_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_slate
DEL theme.ir.ui.view: theme_bootswatch.theme_slate_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_spacelab
DEL theme.ir.ui.view: theme_bootswatch.theme_spacelab_bs_variables
DEL theme.ir.ui.view: theme_bootswatch.theme_united
DEL theme.ir.ui.view: theme_bootswatch.theme_united_bs_variables
ERROR: module not in list of installed modules:
---Models in module 'web_diagram'---
---Fields in module 'web_diagram'---
---XML records in module 'web_diagram'---
DEL ir.ui.view: web_diagram.assets_backend
DEL ir.ui.view: web_diagram.qunit_suite
ERROR: module not in list of installed modules:
---Models in module 'website_gengo'---
---Fields in module 'website_gengo'---
---XML records in module 'website_gengo'---
DEL ir.ui.view: website_gengo.gengo_assets_editor
ERROR: module not in list of installed modules:
---Models in module 'website_rating'---
---Fields in module 'website_rating'---
website_rating / rating.rating            / publisher_comment (text)      : module is now 'portal_rating' ('website_rating')
website_rating / rating.rating            / publisher_datetime (datetime) : module is now 'portal_rating' ('website_rating')
website_rating / rating.rating            / publisher_id (many2one)       : module is now 'portal_rating' ('website_rating')
website_rating / rating.rating            / website_published (boolean)   : DEL
---XML records in module 'website_rating'---
DEL ir.ui.view: website_rating.assets_frontend
DEL ir.ui.view: website_rating.message_thread
DEL ir.ui.view: website_rating.rating_rating_view_form
DEL ir.ui.view: website_rating.rating_stars_static_popup_composer
DEL ir.ui.view: website_rating.rating_widget_stars_static
ERROR: module not in list of installed modules:
---Models in module 'website_theme_install'---
model theme.ir.attachment (moved to website)
model theme.ir.ui.view (moved to website)
model theme.utils (moved to website) [abstract]
model theme.website.menu (moved to website)
model theme.website.page (moved to website)
---Fields in module 'website_theme_install'---
website_theme_install / ir.attachment            / theme_template_id (many2one)  : module is now 'website' ('website_theme_install')
website_theme_install / ir.module.module         / image_ids (one2many)          : module is now 'website' ('website_theme_install')
website_theme_install / ir.module.module         / is_installed_on_current_website (boolean): module is now 'website' ('website_theme_install')
website_theme_install / ir.ui.view               / theme_template_id (many2one)  : module is now 'website' ('website_theme_install')
website_theme_install / mrp.document             / theme_template_id (many2one)  : module is now 'mrp' ('website_theme_install')
website_theme_install / res.company              / website_theme_onboarding_done (boolean): module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / __last_update (datetime)      : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / copy_ids (one2many)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / display_name (char)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / key (char)                    : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / name (char)                   : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.attachment      / url (char)                    : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / __last_update (datetime)      : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / active (boolean)              : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / arch (text)                   : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / arch_fs (char)                : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / copy_ids (one2many)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / display_name (char)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / inherit_id (reference)        : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / key (char)                    : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / mode (selection)              : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / name (char)                   : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / priority (integer)            : module is now 'website' ('website_theme_install')
website_theme_install / theme.ir.ui.view         / type (char)                   : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / __last_update (datetime)      : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / copy_ids (one2many)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / display_name (char)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / name (char)                   : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / new_window (boolean)          : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / page_id (many2one)            : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / parent_id (many2one)          : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / sequence (integer)            : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.menu       / url (char)                    : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / __last_update (datetime)      : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / copy_ids (one2many)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / display_name (char)           : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / url (char)                    : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / view_id (many2one)            : module is now 'website' ('website_theme_install')
website_theme_install / theme.website.page       / website_indexed (boolean)     : module is now 'website' ('website_theme_install')
website_theme_install / website.menu             / theme_template_id (many2one)  : module is now 'website' ('website_theme_install')
website_theme_install / website.page             / theme_template_id (many2one)  : module is now 'website' ('website_theme_install')
---XML records in module 'website_theme_install'---
DEL ir.actions.act_window: base.open_module_tree [potentially moved to website module]
DEL ir.actions.act_window: website_theme_install.theme_install_kanban_action [renamed to website module]
DEL ir.actions.server: website_theme_install.theme_install_todo_action
DEL ir.actions.todo: website_theme_install.theme_install_todo [renamed to website module]
DEL ir.model.access: website_theme_install.access_theme_ir_attachment [renamed to website module]
DEL ir.model.access: website_theme_install.access_theme_ir_ui_view [renamed to website module]
DEL ir.model.access: website_theme_install.access_theme_website_menu [renamed to website module]
DEL ir.model.access: website_theme_install.access_theme_website_page [renamed to website module]
DEL ir.ui.view: website_theme_install.customize_modal
DEL ir.ui.view: website_theme_install.onboarding_website_theme_step
DEL ir.ui.view: website_theme_install.res_config_settings_view_form
DEL ir.ui.view: website_theme_install.theme_view_kanban
DEL ir.ui.view: website_theme_install.theme_view_search
DEL ir.ui.view: website_theme_install.view_website_form_view_themes_modal
DEL ir.ui.view: website_theme_install.website_theme_install_assets
